timestamp_utc,participation_rate,scenario,hourly_volume_usd,trade_usd,relative_size_pct,curve_slippage_bps,fee_inclusive_cost_bps
2026-05-07T00:00:00+00:00,0.01,1pct_hourly_volume,24003.280051964946,240.03280051964947,0.00533982698240903,0.5339541860112046,25.53128782321612
2026-05-07T00:00:00+00:00,0.1,10pct_hourly_volume,24003.280051964946,2400.328005196495,0.053398269824090294,5.336977128961257,30.31033268470429
2026-05-07T00:00:00+00:00,0.5,50pct_hourly_volume,24003.280051964946,12001.640025982473,0.26699134912045147,26.628040347876013,51.49524295048779
2026-05-07T01:00:00+00:00,0.01,1pct_hourly_volume,25497.56127216177,254.9756127216177,0.005672248349890466,0.5671926624126122,25.564360324078493
2026-05-07T01:00:00+00:00,0.1,10pct_hourly_volume,25497.56127216177,2549.756127216177,0.056722483498904665,5.669032733733527,30.640730995890042
2026-05-07T01:00:00+00:00,0.5,50pct_hourly_volume,25497.56127216177,12748.780636080885,0.2836124174945233,28.281033227423602,53.14000377483863
2026-05-07T02:00:00+00:00,0.01,1pct_hourly_volume,64401.96396251854,644.0196396251854,0.014327014647276868,1.4324962307828808,26.42534321317891
2026-05-07T02:00:00+00:00,0.1,10pct_hourly_volume,64401.96396251854,6440.196396251854,0.14327014647276867,14.306517678443807,39.23512541955443
2026-05-07T02:00:00+00:00,0.5,50pct_hourly_volume,64401.96396251854,32200.98198125927,0.7163507323638433,71.12556473252496,95.77163986185356
2026-05-07T03:00:00+00:00,0.01,1pct_hourly_volume,52502.980876330344,525.0298087633034,0.011679938463967702,1.167857441366272,26.162025792538792
2026-05-07T03:00:00+00:00,0.1,10pct_hourly_volume,52502.980876330344,5250.298087633035,0.11679938463967704,11.666312283011003,36.60808749194055
2026-05-07T03:00:00+00:00,0.5,50pct_hourly_volume,52502.980876330344,26251.490438165172,0.5839969231983851,58.060620084952475,82.7715184259481
2026-05-07T04:00:00+00:00,0.01,1pct_hourly_volume,18264.59000134109,182.6459000134109,0.00406318429400716,0.4063019206048917,25.40427299145165
2026-05-07T04:00:00+00:00,0.1,10pct_hourly_volume,18264.59000134109,1826.4590001341091,0.0406318429400716,4.061534017884055,29.041255835806634
2026-05-07T04:00:00+00:00,0.5,50pct_hourly_volume,18264.59000134109,9132.295000670545,0.20315921470035794,20.274731484768736,45.173586797930824
2026-05-07T05:00:00+00:00,0.01,1pct_hourly_volume,54621.9993463641,546.219993463641,0.012151340371457552,1.214986400012823,26.208919428881707
2026-05-07T05:00:00+00:00,0.1,10pct_hourly_volume,54621.9993463641,5462.19993463641,0.12151340371457552,12.136592784470162,37.07602231469487
2026-05-07T05:00:00+00:00,0.5,50pct_hourly_volume,54621.9993463641,27310.99967318205,0.6075670185728776,60.38979339006542,85.08912905184518
2026-05-07T06:00:00+00:00,0.01,1pct_hourly_volume,50875.6184075074,508.756184075074,0.011317911524217473,1.1316630717965293,26.126012147899004
2026-05-07T06:00:00+00:00,0.1,10pct_hourly_volume,50875.6184075074,5087.56184075074,0.11317911524217476,11.305116493393156,36.24869335985048
2026-05-07T06:00:00+00:00,0.5,50pct_hourly_volume,50875.6184075074,25437.8092037537,0.5658955762108737,56.2711218319561,80.99090558507439
2026-05-07T07:00:00+00:00,0.01,1pct_hourly_volume,29817.785469437466,298.1778546943747,0.006633335738310977,0.6632895756066306,25.65997738272707
2026-05-07T07:00:00+00:00,0.1,10pct_hourly_volume,29817.785469437466,2981.7785469437467,0.06633335738310978,6.62893854081799,31.595846209843124
2026-05-07T07:00:00+00:00,0.5,50pct_hourly_volume,29817.785469437466,14908.892734718733,0.3316667869155489,33.057039470892384,57.892232709991774
2026-05-07T08:00:00+00:00,0.01,1pct_hourly_volume,23665.120289730246,236.65120289730248,0.005264599154427327,0.5264322008975356,25.523803399031266
2026-05-07T08:00:00+00:00,0.1,10pct_hourly_volume,23665.120289730246,2366.512028973025,0.05264599154427326,5.2618290123704,30.235559640894305
2026-05-07T08:00:00+00:00,0.5,50pct_hourly_volume,23665.120289730246,11832.560144865123,0.2632299577213663,26.253887674710274,51.12295378040699
2026-05-07T09:00:00+00:00,0.01,1pct_hourly_volume,36848.003136030165,368.48003136030167,0.00819729474337234,0.8196622842038975,25.815569262793716
2026-05-07T09:00:00+00:00,0.1,10pct_hourly_volume,36848.003136030165,3684.8003136030165,0.08197294743372341,8.190580682974568,33.149695658373226
2026-05-07T09:00:00+00:00,0.5,50pct_hourly_volume,36848.003136030165,18424.001568015083,0.409864737168617,40.8191703316674,65.61574407506599
2026-05-07T10:00:00+00:00,0.01,1pct_hourly_volume,27631.115030414632,276.31115030414634,0.006146883812297038,0.6146505993715088,25.611581281916873
2026-05-07T10:00:00+00:00,0.1,10pct_hourly_volume,27631.115030414632,2763.1115030414635,0.06146883812297039,6.143107715359765,31.1124399585494
2026-05-07T10:00:00+00:00,0.5,50pct_hourly_volume,27631.115030414632,13815.557515207316,0.3073441906148519,30.640248039146893,55.48747183642511
2026-05-07T11:00:00+00:00,0.01,1pct_hourly_volume,33796.37223714269,337.9637223714269,0.007518421648572177,0.7517856424427254,25.74803155348082
2026-05-07T11:00:00+00:00,0.1,10pct_hourly_volume,33796.37223714269,3379.6372237142696,0.07518421648572178,7.5127732288836935,32.4752703575748
2026-05-07T11:00:00+00:00,0.5,50pct_hourly_volume,33796.37223714269,16898.186118571346,0.3759210824286089,37.45132083220465,62.26464720136215
2026-05-07T12:00:00+00:00,0.01,1pct_hourly_volume,48017.26750039195,480.1726750039195,0.010682035957796338,1.0680895020749608,26.06275601390373
2026-05-07T12:00:00+00:00,0.1,10pct_hourly_volume,48017.26750039195,4801.726750039195,0.10682035957796338,10.670637544402146,35.61737937171516
2026-05-07T12:00:00+00:00,0.5,50pct_hourly_volume,48017.26750039195,24008.633750195975,0.5341017978898169,53.126430568162455,77.8618325456315
2026-05-07T13:00:00+00:00,0.01,1pct_hourly_volume,39624.37076785682,396.24370767856817,0.008814932114657411,0.8814155152864205,25.87701413981014
2026-05-07T13:00:00+00:00,0.1,10pct_hourly_volume,39624.37076785682,3962.4370767856817,0.0881493211465741,8.807168655275552,33.76320715156367
2026-05-07T13:00:00+00:00,0.5,50pct_hourly_volume,39624.37076785682,19812.18538392841,0.44074660573287056,43.881255429428876,68.66260240257938
2026-05-07T14:00:00+00:00,0.01,1pct_hourly_volume,55943.538832750426,559.4353883275043,0.012445333200456227,1.2443784530008721,26.23816472328788
2026-05-07T14:00:00+00:00,0.1,10pct_hourly_volume,55943.538832750426,5594.353883275043,0.1244533320045623,12.429863820767654,37.367830620925744
2026-05-07T14:00:00+00:00,0.5,50pct_hourly_volume,55943.538832750426,27971.769416375213,0.6222666600228115,61.8418448200231,86.53397345106173
2026-05-07T15:00:00+00:00,0.01,1pct_hourly_volume,67452.23131110134,674.5223131110133,0.015005584403421103,1.5003333065614615,26.492841577051564
2026-05-07T15:00:00+00:00,0.1,10pct_hourly_volume,67452.23131110134,6745.223131110134,0.15005584403421104,14.983101384176576,39.90833536491323
2026-05-07T15:00:00+00:00,0.5,50pct_hourly_volume,67452.23131110134,33726.11565555067,0.7502792201710551,74.46919512068636,99.09869409507888
2026-05-07T16:00:00+00:00,0.01,1pct_hourly_volume,49429.157808755655,494.29157808755656,0.010996128446342924,1.099491943087973,26.094001655907473
2026-05-07T16:00:00+00:00,0.1,10pct_hourly_volume,49429.157808755655,4942.915780875566,0.10996128446342926,10.984050243608944,35.9292286545021
2026-05-07T16:00:00+00:00,0.5,50pct_hourly_volume,49429.157808755655,24714.578904377828,0.5498064223171462,54.680008035810204,79.4076934989596
2026-05-07T17:00:00+00:00,0.01,1pct_hourly_volume,60324.916119864516,603.2491611986452,0.01342002485123046,1.3418224122218665,26.33512213442435
2026-05-07T17:00:00+00:00,0.1,10pct_hourly_volume,60324.916119864516,6032.491611986452,0.1342002485123046,13.402039281209362,38.33515752712513
2026-05-07T17:00:00+00:00,0.5,50pct_hourly_volume,60324.916119864516,30162.458059932258,0.671001242561523,66.65288258579852,91.32113987717294
2026-05-07T18:00:00+00:00,0.01,1pct_hourly_volume,39767.862730311295,397.678627303113,0.008846853679177528,0.8846071080212707,25.88018979593043
2026-05-07T18:00:00+00:00,0.1,10pct_hourly_volume,39767.862730311295,3976.78627303113,0.0884685367917753,8.839033915206217,33.79491342422547
2026-05-07T18:00:00+00:00,0.5,50pct_hourly_volume,39767.862730311295,19883.931365155648,0.44234268395887644,44.03946305301784,68.82002343697069
2026-05-07T19:00:00+00:00,0.01,1pct_hourly_volume,29480.2020711024,294.802020711024,0.006558236129618316,0.6557806053212424,25.65250590789825
2026-05-07T19:00:00+00:00,0.1,10pct_hourly_volume,29480.2020711024,2948.0202071102403,0.06558236129618317,6.553937902384048,31.521219859900196
2026-05-07T19:00:00+00:00,0.5,50pct_hourly_volume,29480.2020711024,14740.1010355512,0.32791180648091584,32.68400593380372,57.52105590876688
2026-05-07T20:00:00+00:00,0.01,1pct_hourly_volume,26742.24485450812,267.42244854508124,0.005949143631001454,0.5948789728956171,25.591908384053895
2026-05-07T20:00:00+00:00,0.1,10pct_hourly_volume,26742.24485450812,2674.224485450812,0.05949143631001453,5.945606504294707,30.91592442525215
2026-05-07T20:00:00+00:00,0.5,50pct_hourly_volume,26742.24485450812,13371.12242725406,0.29745718155007267,29.657499792007737,54.509616447780964
