timestamp_utc,open,high,low,close,volume_usd
2026-05-07T00:00:00+00:00,89.20056977023458,89.4390343681598,88.33237016272963,88.3346711633412,24003.280051964946
2026-05-07T01:00:00+00:00,88.3346711633412,88.4644910714099,88.02010525,88.22868521321509,25497.56127216177
2026-05-07T02:00:00+00:00,88.22868521321509,88.32949215626142,87.8331934080165,88.05542879847283,64401.96396251854
2026-05-07T03:00:00+00:00,88.05542879847283,88.15064107664095,87.5734262245162,87.70238292769828,52502.980876330344
2026-05-07T04:00:00+00:00,87.70238292769828,89.0471950133571,87.66585501343005,88.15489561624386,18264.59000134109
2026-05-07T05:00:00+00:00,88.15489561624386,89.4454382826476,88.15489561624386,88.43301625896117,54621.9993463641
2026-05-07T06:00:00+00:00,88.43301625896117,89.5362988056937,88.0129499518694,89.5261924742114,50875.6184075074
2026-05-07T07:00:00+00:00,89.5261924742114,90.4577805948341,89.0784785451469,90.4124683712322,29817.785469437466
2026-05-07T08:00:00+00:00,90.4124683712322,90.4159052398892,89.0688259109312,89.7188861786124,23665.120289730246
2026-05-07T09:00:00+00:00,89.7188861786124,89.9486314462411,89.0066732274119,89.24076096046507,36848.003136030165
2026-05-07T10:00:00+00:00,89.24076096046507,89.5276224843883,88.7220722623937,89.0375043241704,27631.115030414632
2026-05-07T11:00:00+00:00,89.0375043241704,89.6798099686262,89.0358234963629,89.63200851219341,33796.37223714269
2026-05-07T12:00:00+00:00,89.63200851219341,89.92872047910939,89.38772,89.66295920362411,48017.26750039195
2026-05-07T13:00:00+00:00,89.66295920362411,89.66463962676762,88.4136204643136,88.5694960411773,39624.37076785682
2026-05-07T14:00:00+00:00,88.5694960411773,88.79995193173684,87.7697353176874,88.08902253690714,55943.538832750426
2026-05-07T15:00:00+00:00,88.08902253690714,88.5946373449647,87.8169300429882,88.35447625436149,67452.23131110134
2026-05-07T16:00:00+00:00,88.35447625436149,88.8440965606884,88.1346825948852,88.50383096065838,49429.157808755655
2026-05-07T17:00:00+00:00,88.50383096065838,88.8225652248841,88.18649364898268,88.64359890992779,60324.916119864516
2026-05-07T18:00:00+00:00,88.64359890992779,89.1748874171505,88.2361068397612,88.5150249168792,39767.862730311295
2026-05-07T19:00:00+00:00,88.5150249168792,88.7638515250606,88.1490019524387,88.57199797647309,29480.2020711024
2026-05-07T20:00:00+00:00,88.57199797647309,88.8035735098567,88.23102247591626,88.25389752198885,26742.24485450812
2026-05-07T21:00:00+00:00,88.25389752198885,88.429640428052,87.7710846360532,88.17078398884813,50025.12107000591
2026-05-07T22:00:00+00:00,88.17078398884813,88.4786311718712,87.57979727661352,88.10694152968935,144855.93733611566
2026-05-07T23:00:00+00:00,88.10694152968935,88.3438271075966,88.05571983334654,88.32599270239568,52357.54115750447
2026-05-08T00:00:00+00:00,88.32599270239568,88.6485831372048,88.31960703073288,88.3313160736792,29060.75811030024
2026-05-08T01:00:00+00:00,88.3313160736792,88.36968758537118,88.00110079341252,88.05778398404486,30182.429591631873
2026-05-08T02:00:00+00:00,88.05778398404486,88.5978719707255,87.5704627719068,88.4198247257158,62540.47816543669
2026-05-08T03:00:00+00:00,88.4198247257158,88.4816207835987,87.62914,88.26354127629168,73466.36888161932
2026-05-08T04:00:00+00:00,88.26354127629168,88.4843810846715,88.1166893366949,88.33140712954739,25880.34221816761
2026-05-08T05:00:00+00:00,88.33140712954739,88.595507464721,88.0220253723604,88.21867916260209,52377.66845173835
2026-05-08T06:00:00+00:00,88.21867916260209,88.4181342374901,87.839704527493,87.87821401635452,33440.050274559166
2026-05-08T07:00:00+00:00,87.87821401635452,88.1492229003295,87.607665,88.01118801939182,35882.91263136235
2026-05-08T08:00:00+00:00,88.01118801939182,88.603340994975,87.8087871197905,88.23718178404415,37003.031611138234
2026-05-08T09:00:00+00:00,88.23718178404415,88.7334810701426,88.01,88.22081385190506,34567.27516798096
2026-05-08T10:00:00+00:00,88.22081385190506,88.9100079794509,88.19319916975788,88.64347799043166,49924.73003512763
